id,title,type,year,genre
59404,Apaföld,Movie,2009,Drama
59405,Rózsaszín sajt,Movie,2009,Drama
59406,Sanam Teri Kasam,Movie,2009,Drama
59407,Twice as Dead,Movie,2009,Drama
59408,Railed,Movie,2009,Drama
59409,Coraline,Movie,2009,Drama
59410,Mitsein,Movie,2009,Drama
59411,Blood and Bone,Movie,2009,Drama
59412,Inglourious Basterds,Movie,2009,Drama
59413,The Box,Movie,2009,Drama
59444,I Miss Sonia Henie,Short,2009,Comedy
59446,El reino de los cielos,Movie,2009,Comedy
59447,Unter Strom,Movie,2009,Comedy
59449,Chinango,Movie,2009,Comedy
59450,Mutant Swinger from Mars,Video,2009,Comedy
59451,Los muertos van deprisa,Movie,2009,Comedy
59452,Two-Minute Heist,Movie,2009,Comedy
59453,Astro Boy,Movie,2009,Comedy
59487,Whiteout,Movie,2009,Action
59488,Sterling: The Secret of the Lost Medallion,Movie,2009,Action
59490,Watchmen,Movie,2009,Action
59491,Harry Potter en de halfbloed prins,Movie,2009,Action
59492,The Haunted World of El Superbeasto,Video,2009,Action
59493,Royal Kill,Movie,2009,Action
59524,The Magic Stone,Movie,2009,Fantasy
59527,Malice in Wonderland,Movie,2009,Fantasy
59529,The Lovely Bones,Movie,2009,Fantasy
59530,Skellig,TV Movie,2009,Fantasy
59531,Max en de maximonsters,Movie,2009,Fantasy
59532,Proinhibition,Short,2009,Fantasy
59533,The Dream of Alvareen,Video,2009,Fantasy
59564,T.M.A.,Movie,2009,Horror
59565,El libro de piedra,Movie,2009,Horror
59566,Possession,Movie,2009,Horror
59568,It Came from Trafalgar,Movie,2009,Horror
59569,Cabeza de pescado,Movie,2009,Horror
59570,Silo Killer 2: The Wrath of Kyle,Video,2009,Horror
59571,Daybreakers,Movie,2009,Horror
59572,Cabras,Movie,2009,Horror
59573,Town Creek,Movie,2009,Horror
59604,Moonlight Blade,Movie,2009,Mystery
59611,Cargo,Movie,2009,Mystery
59645,House of Boys,Movie,2009,Romance
